,intercept,game,price,year,rank,geek_rtg,avg_rtg,std_dev,num_voters,players,minutes,age,weight,page_views,thematic,strategic,them*strat,all_plays,this_month
1173,1,The River,19.61,2018,2130,6.088,6.66,1.21,1833,4.0,45.0,8.0,2.02,204182.0,0.0,0.0,0.0,5478.0,32.0
1174,1,Tempus,49.99,2006,2132,6.087,6.48,1.4,2548,5.0,120.0,14.0,2.8,283000.0,0.0,1.0,0.0,3581.0,0.0
1175,1,Karak,29.95,2017,2135,6.086,7.4,1.35,934,5.0,45.0,7.0,1.41,87269.0,0.0,0.0,0.0,4626.0,129.0
1176,1,Big Trouble in Little China: The Game,499.99,2018,2136,6.086,7.67,1.54,752,4.0,120.0,14.0,2.93,333888.0,1.0,0.0,0.0,1169.0,2.0
1177,1,Sunset Over Water,21.05,2018,2138,6.086,6.99,1.24,1123,4.0,20.0,8.0,1.71,87599.0,0.0,0.0,0.0,4266.0,32.0
1178,1,Megaland,24.99,2018,2140,6.086,6.72,1.22,1611,5.0,20.0,8.0,1.9,124921.0,0.0,0.0,0.0,4846.0,27.0
1180,1,Robin Hood and the Merry Men,67.74,2018,2145,6.085,6.85,1.62,1489,5.0,90.0,13.0,3.69,243319.0,1.0,1.0,1.0,2843.0,15.0
1181,1,Monza,24.99,2000,2149,6.083,6.61,1.22,1963,6.0,10.0,5.0,1.06,122637.0,0.0,0.0,0.0,15898.0,119.0
1182,1,Dungeon Command: Sting of Lolth,139.99,2012,2150,6.083,7.32,1.37,901,2.0,90.0,12.0,2.6,223884.0,0.0,0.0,0.0,1106.0,1.0
1183,1,Kero,16.45,2018,2151,6.083,7.18,1.24,923,2.0,30.0,9.0,1.96,88834.0,0.0,0.0,0.0,2259.0,34.0
1184,1,Shadows of Brimstone: Forbidden Fortress,84.0,2018,2153,6.083,8.55,1.6,509,4.0,120.0,12.0,3.56,248655.0,1.0,0.0,0.0,1389.0,30.0
1185,1,Shear Panic,62.59,2005,2154,6.083,6.36,1.28,3709,4.0,45.0,10.0,2.22,196615.0,0.0,0.0,0.0,6116.0,7.0
1186,1,10 Days in Europe,149.0,2002,2155,6.082,6.61,1.22,1927,4.0,30.0,10.0,1.34,136840.0,0.0,0.0,0.0,12720.0,35.0
1187,1,Monopoly Deal Card Game,7.5,2008,2156,6.082,6.29,1.49,9189,5.0,15.0,8.0,1.33,401420.0,0.0,0.0,0.0,39349.0,226.0
1188,1,Merchants of Amsterdam,44.07,2000,2159,6.082,6.72,1.23,1570,5.0,60.0,10.0,2.63,123368.0,0.0,1.0,0.0,1632.0,1.0
1189,1,Lost Legacy: Flying Garden,5.12,2014,2160,6.082,6.7,1.25,1582,4.0,10.0,10.0,1.34,57562.0,0.0,0.0,0.0,4816.0,4.0
1190,1,Sleeping Queens,9.99,2005,2161,6.081,6.47,1.41,3408,5.0,20.0,8.0,1.06,199680.0,0.0,0.0,0.0,32076.0,237.0
1191,1,Anomia: Party Edition,21.93,2013,2162,6.081,7.09,1.38,1074,6.0,30.0,10.0,1.03,72251.0,0.0,0.0,0.0,3438.0,28.0
1192,1,Exit: The Game – Theft on the Mississippi,14.18,2019,2164,6.08,7.23,1.56,830,4.0,90.0,12.0,2.8,25246.0,0.0,0.0,0.0,1164.0,29.0
1193,1,GoodCritters,19.26,2018,2165,6.079,7.1,1.24,961,8.0,45.0,12.0,1.43,95855.0,0.0,0.0,0.0,1993.0,26.0
1194,1,The Battle for Hill 218,19.95,2007,2169,6.077,6.61,1.33,1775,2.0,30.0,8.0,1.71,177806.0,0.0,1.0,0.0,10694.0,13.0
1195,1,Mondo,120.0,2011,2170,6.077,6.5,1.35,2473,4.0,30.0,8.0,1.81,164718.0,0.0,0.0,0.0,7277.0,7.0
1196,1,Grifters,22.87,2015,2181,6.073,6.78,1.26,1418,4.0,30.0,14.0,1.78,115694.0,1.0,0.0,0.0,3288.0,27.0
1197,1,Machiavelli,137.74,1977,2183,6.073,7.1,1.53,1046,8.0,480.0,12.0,3.21,187941.0,0.0,1.0,0.0,554.0,1.0
1198,1,Ticket to Ride: First Journey (Europe),32.72,2017,2185,6.073,7.03,1.21,1072,4.0,30.0,6.0,1.61,76456.0,0.0,0.0,0.0,6810.0,127.0
1199,1,Noblemen,39.95,2012,2186,6.073,6.92,1.23,1098,5.0,120.0,12.0,3.05,125457.0,0.0,1.0,0.0,1875.0,2.0
1200,1,Viva Topo!,119.99,2002,2189,6.071,6.84,1.24,1304,4.0,30.0,4.0,1.09,140578.0,0.0,0.0,0.0,6490.0,25.0
1201,1,Colony,38.54,2016,2191,6.07,6.63,1.36,1796,4.0,60.0,13.0,2.28,226102.0,0.0,1.0,0.0,5360.0,18.0
1202,1,Ascension: Dreamscape,99.99,2015,2193,6.07,7.61,1.28,644,4.0,60.0,13.0,2.29,54340.0,0.0,0.0,0.0,5870.0,41.0
1203,1,Tesla vs. Edison: War of Currents,34.42,2015,2194,6.07,6.71,1.5,1490,5.0,90.0,14.0,3.23,236732.0,0.0,1.0,0.0,2635.0,9.0
1204,1,Tannhäuser,199.99,2007,2196,6.07,6.48,1.67,3132,10.0,120.0,11.0,2.73,700239.0,1.0,0.0,0.0,3238.0,3.0
1205,1,Gunkimono,27.14,2018,2197,6.07,7.05,1.11,960,5.0,60.0,10.0,1.82,120176.0,0.0,0.0,0.0,2215.0,22.0
1206,1,The Palace of Mad King Ludwig,34.95,2017,2200,6.069,6.92,1.31,1127,4.0,75.0,13.0,3.0,129746.0,0.0,1.0,0.0,2624.0,18.0
1207,1,Steam Works,45.0,2015,2302,6.04,6.91,1.41,1042,5.0,120.0,12.0,3.17,154528.0,0.0,1.0,0.0,2280.0,21.0
1208,1,Haven,42.85,2018,2303,6.04,7.1,1.22,880,2.0,45.0,12.0,2.36,138764.0,0.0,1.0,0.0,1750.0,14.0
1209,1,DropMix,39.99,2017,2307,6.039,6.82,1.54,1306,6.0,30.0,16.0,1.3,81036.0,0.0,0.0,0.0,6554.0,15.0
1210,1,Escape the Room: Mystery at the Stargazer's Manor,19.98,2016,2309,6.039,6.58,1.47,1648,8.0,90.0,10.0,1.61,159649.0,0.0,0.0,0.0,1892.0,3.0
1211,1,Mistfall,29.99,2015,2310,6.039,6.68,1.7,1667,4.0,120.0,14.0,3.93,503347.0,1.0,0.0,0.0,3529.0,9.0
1212,1,Cuzco,60.95,2018,2312,6.038,7.54,1.23,624,4.0,90.0,12.0,2.45,122150.0,0.0,1.0,0.0,1126.0,20.0
1213,1,Exit: The Game – The House of Riddles,13.99,2017,2318,6.037,6.89,1.35,1062,4.0,90.0,10.0,1.68,31973.0,0.0,0.0,0.0,1496.0,18.0
1214,1,Freshwater Fly,47.9,2019,2319,6.037,7.33,1.3,742,4.0,90.0,14.0,2.39,95533.0,0.0,1.0,0.0,2074.0,20.0
1215,1,Buffy the Vampire Slayer: The Game,91.48,2000,2321,6.036,6.63,1.4,1671,5.0,90.0,12.0,2.01,247425.0,1.0,0.0,0.0,2001.0,2.0
1216,1,Quirky Circuits,39.96,2019,2325,6.034,7.3,1.28,687,4.0,30.0,7.0,1.6,91004.0,0.0,0.0,0.0,4567.0,147.0
